0.00,0.00,1.63
0.00,0.10,1.63
0.00,0.20,1.63
0.00,0.30,1.63
0.00,0.40,1.63
0.00,0.50,1.63
0.00,0.60,1.63
0.00,0.70,1.63
0.00,0.80,1.63
0.00,0.90,1.63
0.00,1.00,1.63
0.10,0.00,1.63
0.10,0.10,2.16
0.10,0.20,2.16
0.10,0.30,2.16
0.10,0.40,2.16
0.10,0.50,2.16
0.10,0.60,2.16
0.10,0.70,2.16
0.10,0.80,2.16
0.10,0.90,2.16
0.10,1.00,2.16
0.20,0.00,1.63
0.20,0.10,2.16
0.20,0.20,2.41
0.20,0.30,2.41
0.20,0.40,2.41
0.20,0.50,2.41
0.20,0.60,2.41
0.20,0.70,2.41
0.20,0.80,2.41
0.20,0.90,2.41
0.20,1.00,2.41
0.30,0.00,1.63
0.30,0.10,2.16
0.30,0.20,2.41
0.30,0.30,9.92
0.30,0.40,9.92
0.30,0.50,9.92
0.30,0.60,12.48
0.30,0.70,12.48
0.30,0.80,17.37
0.30,0.90,17.37
0.30,1.00,17.37
0.40,0.00,1.63
0.40,0.10,2.16
0.40,0.20,2.41
0.40,0.30,9.92
0.40,0.40,10.00
0.40,0.50,10.00
0.40,0.60,11.35
0.40,0.70,13.71
0.40,0.80,18.11
0.40,0.90,18.11
0.40,1.00,18.11
0.50,0.00,1.63
0.50,0.10,2.16
0.50,0.20,2.41
0.50,0.30,9.92
0.50,0.40,10.00
0.50,0.50,10.00
0.50,0.60,11.35
0.50,0.70,13.71
0.50,0.80,18.12
0.50,0.90,18.25
0.50,1.00,18.30
0.60,0.00,1.63
0.60,0.10,2.16
0.60,0.20,2.41
0.60,0.30,9.92
0.60,0.40,10.00
0.60,0.50,10.00
0.60,0.60,11.35
0.60,0.70,13.71
0.60,0.80,18.12
0.60,0.90,18.12
0.60,1.00,18.12
0.70,0.00,1.63
0.70,0.10,2.16
0.70,0.20,2.41
0.70,0.30,9.92
0.70,0.40,10.00
0.70,0.50,10.00
0.70,0.60,11.68
0.70,0.70,13.71
0.70,0.80,17.93
0.70,0.90,17.93
0.70,1.00,17.93
0.80,0.00,1.63
0.80,0.10,2.16
0.80,0.20,2.41
0.80,0.30,9.92
0.80,0.40,10.00
0.80,0.50,10.00
0.80,0.60,11.35
0.80,0.70,13.71
0.80,0.80,18.12
0.80,0.90,18.12
0.80,1.00,18.12
0.90,0.00,1.63
0.90,0.10,2.16
0.90,0.20,2.41
0.90,0.30,9.92
0.90,0.40,10.00
0.90,0.50,10.00
0.90,0.60,11.35
0.90,0.70,13.71
0.90,0.80,18.12
0.90,0.90,18.25
0.90,1.00,18.25
1.00,0.00,1.63
1.00,0.10,2.16
1.00,0.20,2.41
1.00,0.30,9.92
1.00,0.40,10.00
1.00,0.50,10.00
1.00,0.60,11.35
1.00,0.70,13.71
1.00,0.80,18.12
1.00,0.90,18.25
1.00,1.00,18.30
